lam flux_nu eflux_nu eflux_nu_lines eflux_nu_spread
3390.000000000 0.014780257 0.098716723 0.098716723 0.452376858
3400.000000000 0.004251043 0.097746313 0.097746313 0.447929878
3410.000000000 0.004251043 0.098716723 0.098716723 0.452376858
3420.000000000 0.004251043 0.098716723 0.098716723 0.452376858
3430.000000000 0.004251043 0.098183306 0.098183306 0.449932433
3440.000000000 -0.022826265 0.085213803 0.085213803 0.399688164
3450.000000000 -0.033491913 0.090447086 0.090447086 0.424234438
3460.000000000 -0.004732892 0.096232803 0.096232803 0.451371857
3470.000000000 0.013314807 0.098607942 0.098607942 0.462512247
3480.000000000 0.026372232 0.087285108 0.087285108 0.409403445
3490.000000000 -0.006460278 0.093423603 0.093423603 0.438195542
3500.000000000 -0.005655736 0.090508820 0.090508820 0.424523997
3510.000000000 -0.000949785 0.104858618 0.104858618 0.491830514
3520.000000000 0.027874957 0.098775369 0.098775369 0.463297546
3530.000000000 -0.008198451 0.088963854 0.088963854 0.417277462
3540.000000000 -0.042610176 0.078701817 0.078701817 0.377440656
3550.000000000 -0.043393317 0.091196797 0.091196797 0.437364475
3560.000000000 -0.017171598 0.097665912 0.097665912 0.468389260
3570.000000000 -0.044959598 0.093164814 0.093164814 0.446802754
3580.000000000 -0.022043014 0.087385623 0.087385623 0.428100373
3590.000000000 -0.001954606 0.095801655 0.095801655 0.469330345
3600.000000000 -0.006460278 0.087013513 0.087013513 0.426277418
3610.000000000 0.004251043 0.083376404 0.083376404 0.416882019
3620.000000000 0.025238535 0.086219163 0.086219163 0.431095815
3630.000000000 0.004251043 0.079174368 0.079174368 0.395871842
3640.000000000 0.004251043 0.071937245 0.071937245 0.359686224
3650.000000000 0.004251043 0.069203899 0.069203899 0.346019496
3660.000000000 -0.017171598 0.069203899 0.069203899 0.346019496
3670.000000000 -0.031472491 0.069203899 0.069203899 0.346019496
3680.000000000 -0.048994991 0.078180466 0.078180466 0.390902328
3690.000000000 -0.073073741 0.083934434 0.083934434 0.444139275
3700.000000000 -0.050857151 0.079966788 0.079966788 0.423144469
3710.000000000 -0.028871452 0.083483943 0.083483943 0.441755505
3720.000000000 -0.049683864 0.069263628 0.069263628 0.366508667
3730.000000000 -0.040413987 0.059099038 0.059099038 0.318258060
3740.000000000 -0.086507869 0.071648469 0.071648469 0.392434828
3750.000000000 -0.062346525 0.064867990 0.064867990 0.355296614
3760.000000000 -0.050325027 0.060149182 0.060149182 0.340255154
